代號,名稱,FY,Page,Key,LEN,Text
2881,富邦金,109,171,2881_109,230,"c.因應對策
(a)以退休四帳戶對應民眾需求與呼應社會相關議題,協助民眾檢視保障缺口,醫療以提
升投保額度為主軸,長照則提升投保率為主,並運用年金及投資型商品協助民眾進行
退休規劃。
(b)為兼顧行政監理政策及行政效能,導入創新科技於行政流程,如:RPA流程自動化、
新身分辨識技術等,以符合監理規範,並提高行政效率。
(c)富邦人壽已提早針對IFRS17進行規劃,同時成立專案小組因應,以達到商品、業務、
財務、行政等各面向均能順利接軌,維持穩健、專業經營。"
2881,富邦金,109,177,2881_109,327,"(3)未來計劃開發之新商品與服務
a.因應社會結構轉變及新商業模式發展,開發新商品搶占新興市場,根據不同族群需求開發
碎片型商品,提升優質商品附加率。
b.持續開發農漁業保險,擴大承保品項及範圍,提供農漁民更完整的保險防護。
c.配合政府綠能政策,開拓綠能產業鏈以創造延伸商機,推動相關專責險、綠能保險及農業
保險。
d.針對科技創新發展,開發相關資訊安全、產品責任險,掌握數位浪潮商機。
e.導入RPA及AIOCR升級公司全流程,以人機協作模式,提升作業效率,並持續升級公
司數位服務的介面體驗與設計,提升數位服務品質,並增加與會員的互動進而提高貢獻
度。
f.以大數據及AI技術建置系統分析模型,優化客戶體驗,同時避免詐賠事件,提升品質。
~175~"
2881,富邦金,109,179,2881_109,391,"(2)未來研究發展計畫
a.導入RPA及AIOCR升級公司全流程,以人機協作模式,提升作業效率,並持續升級公
司數位服務的介面體驗與設計,提升服務品質,並增加與會員的互動進而提高貢獻度。
b.規劃自動語音應答(IVR)系統,新增語音投保服務,並導入AI技術,應用於影像辨識、詐
欺處理等理賠流程,加強核心競爭力。
C.利用過往數據建置模型,進行科學化的客戶風險管控,避免詐賠事件,提升業務品質。
d.因應社會結構轉變及新商業模式發展,開發新商品搶占新興市場;針對特定疾病研發相關
商品,強化健康管理及照護市場區隔;同時配合綠能政策,開拓綠能產業鏈以延伸商機,
推動相關專責險、綠能保險及農業保險。
e.海外子公司資源共享,打造東南亞區域保險共同營運平台,鋪設保經服務網,以共同作業
系統提高管理效能,輔以再保串聯台北及海外子公司,打造區域內業務互通,區域外再保
險互補。
~177~"
2881,富邦金,109,216,2881_109,792,"5.15非擔任主管職務之全時員工人數、薪資平均數及中位數,及前三者與前一年度之差異
(2)
未來開發或購置計畫項目
a.創新科技發展
導入流程機器人(RPA)及雲端技術服務幫助提升工作效率及作業品質,並運用大數據分析
及人工智慧,優化精準行銷。整合內外部資料應用,加強風險客戶識別,並打造安全的
API管理平台,邁向開放金融;持續推動數位轉型,建置FIDO多元身分驗證系統,強化
資訊安全,以提供更好的客戶服務體驗,增加客戶黏著度與忠誠度,並有效觸及更多類
型的客群,提升產業競爭力。
b.風險控管
整合各主要子公司市場投資及信用曝險狀況,分析客戶各項貸放額度及支付能力,並結
合母子公司及海外據點等面向,提供風險值與管理分析平台,完整的掌控各項風險狀
況。因應金融市場仍可能維持高波動狀態,將持續針對市場風險管理系統進行效能調整
優化作業,俾利提升市場風險衡量之即時性。優化利害關係人名單之收集與審核方法,
提升名單內容即時性,降低遵法風險。建立既有客戶跨查平台,協助客戶盡職調查及定
期審查作業,以增進金控洗錢防制落實度。透過金控供應商名單審核系統,進行線上名
單檢核作業,避免交易風險。建置作業風險管理平台,提供金控及所有子公司使用於風
控、法遵、稽核等通報事件,以期節省人力、增加效率,並降低漏未通報之風險。
C.資源共享
對於各子公司共同所需之系統,例如金控入口網站、員工入口網站、人資管理作業、教
育訓練作業、電子郵件管理、電子公文辦理、總務管理作業、跨售商品業績佣金查詢、
數據分析平台、GIS定位應用等,提供統一的平台讓各子公司共享軟硬體資源並節省成
本。另發展行動應用(目前已發展出富邦AppStore、行動EIP、人資服務、行動公文、富
邦人小幫手等行動化APP)並試辦雲端軟體服務,以因應科技日新月異之發展,提供各子
公司員工更便利好用之功能與服務。
~214~"
2881,富邦金,111,10,2881_111,133,"數位轉型上，富邦產險導入RPA(RoboticProcessAutomation)，2022年共完成75項作業導入，橫跨23
個部門，平均每月節省近3,000小時。而在金融專利領域，累計共取得10件發明專利、18件新型專
利，未來也將持續深化金融專利領域的戰略佈局。"
2881,富邦金,111,181,2881_111,354,"5.1.5未來研究發展計畫
富邦金控致力整合集團數位化資源，建立跨子公司協作模式，發展共同技術及開發成果共享；
進行金融科技技術架構規劃和潛在市場應用研討，匯流專家資源掌握趨勢前緣，確立未來主軸
核心技術。在數位服務設計思維上，富邦以客戶為核心，發展富邦集團用戶體驗準則，以實際業
務案例，針對目標用戶旅程之使用者介面，包含內容易讀性、簡化流程及售後服務等，進行深入
設計發想，透過用戶訪談及其反饋，完成數位服務優化之設計方案，並交由子公司接續整合其
內部資源執行；此外，富邦積極推動資訊架構之完善，持續優化數據分析平台、建構容器管理平
台及伺服器自動化維運平台；注重數位治理，持續追蹤OpenAPI治理成效，規範雲端資訊資安
管理、機器流程自動化(RPA)管理；雲端適用實作規劃及CI/CD持續整合部署。
"
2881,富邦金,111,187,2881_111,410,"(b)持續運用保險科技，發展數位創新服務：
◎擴大MobileID身分識別運用，強化數位服務與風險控管。
◎持續行政作業數位化及自動化，並導入AI智能技術，提升投保及理賠效率。
◎擴大自動核賠範疇，提供優質理賠服務。
(c)整合、串接行政作業平台，減少紙本作業程序，提升管理效能並強化無紙化作業，創
造綠色服務價值。
d.發揮集團綜效，提升跨售績效
(a)與關係企業合作開發具金控特色之專案及商品，擴大集團綜效。
(b)強化與關係企業合作，提升整合行銷跨售績效。
e.強化數位工具及數據分析運用，增加客戶互動及銷售場景，提升影響性及公司形象
(a)持續強化全通路業務人員數位工具運用，提升客戶服務及工作效率。
(b)加強數據應用及分析，發展新業務場景，並依數據分析產生之行銷標籤進行精準行
銷。
(c)持續導入RPA(RoboticProcessAutomation)流程自動化技術，提升內部作業效率並降
低人力成本。
"
2881,富邦金,111,197,2881_111,613,"a.建立低碳作業流程，結合遠距招攬、數位要保書平台及自動核賠之運用，翻轉商業模
式，加速數位轉型，導入MID驗證流程取代紙本文件親簽，以降低人力成本，提高作
業效率，同時利於銷售量掌控與管理。
b.建置數位生態系，開發線上通路合作、結合新創廠商提供寵物相關服務，建構寵物生
態圈；另搭配物聯網發展與共享平台興起，推出場景式碎片化商品，增加其他財產險
成長動能，同時也透過數位化減少資源使用，深化永續營運。
c.強化新興風險特殊商品之開發，並掌握數位智能商機推動汽車數位電子零件等產品責
任險相關商品；響應台灣永續發展目標，開發電動車專屬綜合保險，提前佈局電動車
市場，並以保險商品支持運具電動化。
d.強化商品研發時對於商品風險辨識、銷售限額及預警值控管機制及再保險安排，避免
系統性風險引發損失；嚴格精算風險對價成本適足性，以服務爭取優質客戶。
e.加強潛在綠能業務之開拓，善用北富銀融資的資源，同時開發綠能相關商品以掌握商
機，共同擴大金融永續影響力，支持國內潔淨能源產業發展。
f.展開遠距招攬擴大試辦，透過與富邦保代的合作強化業務員戰力，同時讓未成年保戶
也可一體適用，服務對象更全面，持續優化客戶使用體驗，透過提升服務可及性，擴
大普惠金融服務範圍。
g.持續推展數位科技之應用，包含RPA、AIOCR、保單QRCode推動保單無紙化，增加
小型企業行銷APP之商品種類，加深服務廣度與便利性，拓展優質業務機會。

"
2881,富邦金,111,198,2881_111,606,"c.導入RPA，以自動化系統取代傳統人力的投入。2022年共完成75項作業導入，橫跨23個
部門，平均每月節省近3,000小時。
d.開發「Next2U遠距視訊投保」，獲准成為產險業首家試辦視訊投保業者，運用保險科技
多重技術，結合科技「人臉生物辨識」、「電子簽名」加上「專人解說」的服務，提供
客戶免紙本、零接觸、專人服務的新型態快速投保體驗。
e.開發數位表單平台，開創全新線上行銷，翻轉業務員傳統招攬模式。
f.首創客服「AI語音機器人」，AI自動辨識分析提供服務，節省客戶等待時間，降低電話
漏接率，提供更貼心、有感的服務。
a.擴大遠距視訊投保服務範疇，服務對象更全面，提供免紙本、零接觸快速投保體驗，推
廣數位要保書平台，實現資料數位化、紙張最少化、銷售線上化，拓展數位創新服務網，
打造低碳營運模式。
b.引進AI技術，導入數位員工RPA，以人機協作方式提升效率，加強核心競爭力，並持續
開發各險種APP，開發智能銷售平台，持續推動各項服務、商品創新。
c.持續發展各項永續、創新商品，落實ESG政策，配合政府能源轉型永續發展行動，結合再
保資源，掌握政府綠能商機；順應電動車趨勢，推動電動車四合一保險；創新商業合作
模式，透過IOT設備，開發碎片化場景保險。
d.擴大損防服務領域，提升損防技術，如無人機查勘結合AI判讀、運用天災模型評估風險、
提供客戶資安風險評估等，提供客戶全方位服務。


"
2881,富邦金,111,252,2881_111,954,"(2)未來開發或購置計畫項目
a.創新科技發展
導入流程機器人(RPA)及雲端技術服務幫助提高工作效率及作業品質，並透過大數據分
析、人工智慧技術及社群網路平台，發掘潛在客戶、提升行銷成效，持續優化並擴充金
控數據分析運算平台資源，以支援金控及子公司發展新型分析技術。整合內外部資料應
用，結合現有資訊系統，加強風險客戶識別，並打造安全的API管理平台，邁向開放金
融；持續推動數位轉型，運用FIDO技術標準強化身分驗證之安全與多元性，以提供更
好的客戶服務體驗，增加客戶黏著度與忠誠度，並有效觸及更多類型的客群，提升產業
競爭力。
b.風險控管
整合各主要子公司市場投資及信用曝險狀況，分析客戶各項貸放額度及支付能力，並結
合母子公司及海外據點等面向，提供風險值與管理分析平台，完整的掌控各項風險狀況。
因應金融市場仍可能維持高波動狀態，將持續針對市場風險管理系統進行效能調整優化
作業，俾利提升市場風險衡量之即時性。持續優化利害關係人名單之收集與審核方法，
提升名單內容即時性，降低遵法風險。簡化既有客戶跨查平台作業流程，協助洗錢防制
單位進行客戶盡職調查及定期審查作業，以增進金控洗錢防制落實度。
c.資源與服務共享
對於各子公司共同所需之系統，例如金控入口網站、員工入口網站、人資管理作業、法
令遵循、洗防風險管理、教育訓練作業、電子郵件管理、電子公文辦理、總務管理作業、
電子採購系統、財產帳務管理、數據分析平台、GIS定位應用等，提供統一的平台讓各
子公司共享軟硬體資源並節省成本。另發展行動應用（目前已提供富邦AppStore、人資
服務、行動學習Academy、行動公文、富邦人小幫手等APP）並推動雲端軟體服務，以
提供各子公司員工更便利好用之功能與服務。
(3)治理機制建立
優化資料治理平台，透過資料溯源、品質檢核機制及品質議題分派流程系統，以提升作業效
率並確保資料標準及品質檢核的有效施行，並制定OpenAPI之治理機制，定義各公司API
之管理職責、第三方服務提供者的審查原則、API技術及安全性標準等，並透過API管理平
台施行，確保在開放金融的合作下能夠安全無虞；亦基於金控整體資訊架構及治理框架成熟
度及資安環境，提出混合雲治理與策略方針，建立雲端資訊架構及治理框架。


"
