"","X","Code","Key","Industry","Year","Equity","AC","A1","A21","A2","A3","A4","A5","A6","ROA","Median_ROA","ADJROA","DA","DA1","DA2","DA3"
"1",1,1101,11012022,"M1100",2022,238275780,-0.00458114271547356,2.26405922422115e-09,0.0155954150074782,0.0174688583578037,0.259778116898128,0.00941188664012137,0.887196783,0.0139930293555949,0.00941188664012137,0.0397315718943074,-0.0303196852541861,0.012370928495578,0.0114219798746121,0.0223431349643152,-0.0203845453876757
"2",2,1102,11022022,"M1100",2022,184233245,-0.00855209934492691,3.15401626959552e-09,-0.0091847603144288,-0.00781243837347898,0.125516206409536,0.0397315718943074,1.233530028,0.0482836712392343,0.0397315718943074,0.0397315718943074,0,-0.00425008599720442,-0.00541449165315123,-0.00380954807244578,-0.0030103209272477
"3",3,1103,11032022,"M1100",2022,21999427,0.00541524771222052,2.48461705255792e-08,0.000829986326406975,0.000110540612668302,0.120464993099846,-0.00432040120801087,1.367086236,-0.00973564892023139,-0.00432040120801087,0.0397315718943074,-0.0440519731023183,0.00843301241409563,0.00760954597633832,0.0214570012437032,-0.0247813735325842
"4",4,1104,11042022,"M1100",2022,21526478,0.0466363828854506,3.98456824533401e-08,0.0389165608298931,0.026093582685489,0.315240630865533,0.0870027288714085,1.160902162,0.0403663459859579,0.0870027288714085,0.0397315718943074,0.0472711569771011,0.0678309534444142,0.0679843733769103,0.0579507321579454,0.0510606107596521
"5",5,1108,11082022,"M1100",2022,4905789,-0.00789036162706688,1.24351661524725e-07,0.0472823566132079,0.0123406588897138,0.37597911389493,0.0722757970630625,0.749591864,0.0801661586901293,0.0722757970630625,0.0397315718943074,0.032544225168755,0.0191096061969136,0.0203608493886551,0.0135416296068417,0.0224226373511013
"6",6,1109,11092022,"M1100",2022,9663552,-0.0834123417144171,8.54529583600552e-08,-0.0845891144039934,-0.0082056203265243,0.235443665350834,0.0442422437554182,1.602129785,0.127654585469835,0.0442422437554182,0.0397315718943074,0.00451067186111081,-0.0620702384878229,-0.068852184961403,-0.0687378749343803,-0.0205099824625033
"7",7,1110,11102022,"M1100",2022,8726668,0.0351108272117534,9.12533649678332e-08,-0.00481544006935256,-0.00786311995254825,0.144211707806725,0.009866678833782,0.796678116,-0.0252441483779714,0.009866678833782,0.0397315718943074,-0.0298648930605254,0.0409849145973471,0.0400785880048223,0.0495172559421196,-0.00702970350471353
"8",8,1201,12012022,"M1200",2022,7232656,-0.0338322746125166,5.56820962126486e-08,0.00862905445007415,0.0144115287775653,0.50636073289666,0.013424006801234,0.71281831,0.0472562814137506,0.013424006801234,0.0503632578529322,-0.0369392510516982,0.010004010946348,0.00809558029981417,0.0177400843044974,-0.0197832200825736
"9",9,1203,12032022,"M1200",2022,6575579,0.0735138460934812,1.04354297868282e-07,0.0585134375464051,0.0554196456775041,0.309084907770106,0.0928099993123052,0.613759987,0.019296153218824,0.0928099993123052,0.0503632578529322,0.042446741459373,0.0925645186206992,0.0927091823772477,0.0819703820893841,0.0576414233181438
"10",10,1210,12102022,"M1200",2022,28896226,0.0089901789338775,1.76266958423736e-08,0.209042812247663,0.191890768070933,0.391940351966337,0.050238304114441,0.623690488,0.0412481251805635,0.050238304114441,0.0503632578529322,-0.000124953738491189,0.0263592127271098,0.0304440825448973,0.036904189840449,-0.00477275036393733
